ADC,Suporte,Lane,Taxa_Vitoria,Partidas_Jogadas
Smolder,Thresh,BOTTOM,0.0,1
Smolder,Velkoz,BOTTOM,0.5,2
Smolder,Xerath,BOTTOM,1.0,1
Smolder,Zilean,BOTTOM,1.0,1
Smolder,Zyra,BOTTOM,1.0,1
Swain,Xerath,BOTTOM,0.0,1
Tristana,Brand,BOTTOM,0.0,1
Tristana,Milio,BOTTOM,1.0,1
Tristana,Senna,BOTTOM,1.0,1
Tristana,Seraphine,BOTTOM,0.0,1
Tristana,Soraka,BOTTOM,1.0,1
Tristana,Thresh,BOTTOM,0.0,1
Tristana,Velkoz,BOTTOM,1.0,1
Tristana,Zilean,BOTTOM,0.0,1
Twitch,Lulu,BOTTOM,0.0,1
Twitch,Nami,BOTTOM,0.0,1
Twitch,Pyke,BOTTOM,1.0,1
Twitch,Seraphine,BOTTOM,0.0,1
Twitch,Sona,BOTTOM,0.0,1
Twitch,Yuumi,BOTTOM,0.0,1
Varus,Ashe,BOTTOM,1.0,1
Varus,Brand,BOTTOM,1.0,1
Varus,Hwei,BOTTOM,0.0,1
Varus,Janna,BOTTOM,1.0,1
Varus,Karma,BOTTOM,0.25,4
Varus,Leona,BOTTOM,1.0,1
Varus,Nami,BOTTOM,0.0,3
Varus,Nautilus,BOTTOM,1.0,1
Varus,Pantheon,BOTTOM,1.0,1
Varus,Rakan,BOTTOM,1.0,1
Varus,Rell,BOTTOM,0.3333333333333333,3
Varus,Senna,BOTTOM,0.0,1
Varus,Seraphine,BOTTOM,1.0,1
Varus,Thresh,BOTTOM,1.0,2
Vayne,Anivia,BOTTOM,1.0,1
Vayne,Camille,BOTTOM,1.0,1
Vayne,Karma,BOTTOM,1.0,1
Vayne,Leona,BOTTOM,0.0,1
Vayne,Lulu,BOTTOM,1.0,1
Vayne,Pyke,BOTTOM,1.0,1
Vayne,Seraphine,BOTTOM,0.5,2
Vayne,Soraka,BOTTOM,0.0,2
Vayne,TahmKench,BOTTOM,0.5,2
Vayne,Thresh,BOTTOM,1.0,1
Veigar,Leona,BOTTOM,0.5,2
Veigar,Soraka,BOTTOM,0.0,1
Xayah,Alistar,BOTTOM,0.0,1
Xayah,Bard,BOTTOM,1.0,1
Xayah,Braum,BOTTOM,1.0,1
Xayah,Lulu,BOTTOM,0.0,2
Xayah,Nautilus,BOTTOM,1.0,2
Xayah,Rakan,BOTTOM,1.0,1
Xayah,Soraka,BOTTOM,0.0,1
Xayah,Thresh,BOTTOM,1.0,3
Yasuo,Ivern,BOTTOM,0.0,1
Zeri,Braum,BOTTOM,0.0,1
Zeri,Janna,BOTTOM,0.0,1
Zeri,Karma,BOTTOM,1.0,1
Zeri,Leona,BOTTOM,0.0,1
Zeri,Lulu,BOTTOM,0.5,2
Zeri,Nami,BOTTOM,0.5,2
Zeri,Neeko,BOTTOM,1.0,1
Zeri,Pyke,BOTTOM,1.0,1
Zeri,Renata,BOTTOM,1.0,1
Zeri,Soraka,BOTTOM,0.0,1
Zeri,Taric,BOTTOM,1.0,1
Zeri,Thresh,BOTTOM,1.0,1
Zeri,Xerath,BOTTOM,0.0,1
Zeri,Yuumi,BOTTOM,0.0,1
Ziggs,Alistar,BOTTOM,0.0,1
Ziggs,Hwei,BOTTOM,0.0,1
Ziggs,Morgana,BOTTOM,0.0,1
Ziggs,Rell,BOTTOM,1.0,1
Ziggs,Soraka,BOTTOM,0.0,1
Ziggs,TahmKench,BOTTOM,0.0,1
Ziggs,Thresh,BOTTOM,0.0,1
