player_champion,player_lane,Taxa_Vitoria_Media,Popularidade
Khazix,TOP,0.5,2
Kindred,BOTTOM,1.0,1
Kindred,JUNGLE,0.47904191616766467,167
Kindred,NONE,0.5151515151515151,33
Kindred,TOP,1.0,2
Kled,JUNGLE,0.2,5
Kled,MIDDLE,0.75,4
Kled,NONE,0.5,12
Kled,TOP,0.625,32
KogMaw,BOTTOM,0.5166666666666667,120
KogMaw,JUNGLE,1.0,1
KogMaw,MIDDLE,0.8,15
KogMaw,NONE,0.5555555555555556,27
KogMaw,TOP,0.625,8
Leblanc,BOTTOM,0.4,5
Leblanc,JUNGLE,0.5,6
Leblanc,MIDDLE,0.5108225108225108,231
Leblanc,NONE,0.5692307692307692,65
Leblanc,TOP,0.3,20
LeeSin,BOTTOM,0.5,6
LeeSin,JUNGLE,0.4501510574018127,662
LeeSin,MIDDLE,0.4,5
LeeSin,NONE,0.6283185840707964,113
LeeSin,TOP,0.42857142857142855,21
Leona,BOTTOM,0.5132743362831859,226
Leona,JUNGLE,0.5,2
Leona,MIDDLE,0.4117647058823529,17
Leona,NONE,0.4883720930232558,43
Leona,TOP,0.4,5
Lillia,BOTTOM,1.0,1
Lillia,JUNGLE,0.47096774193548385,155
Lillia,NONE,0.48,25
Lillia,TOP,0.3333333333333333,3
Lissandra,BOTTOM,0.5,14
Lissandra,JUNGLE,0.5,18
Lissandra,MIDDLE,0.5390625,128
Lissandra,NONE,0.53125,32
Lissandra,TOP,0.4722222222222222,36
Lucian,BOTTOM,0.5137420718816068,473
Lucian,JUNGLE,0.25,8
Lucian,MIDDLE,0.4444444444444444,54
Lucian,NONE,0.46601941747572817,103
Lucian,TOP,0.6,15
Lulu,BOTTOM,0.5263157894736842,646
Lulu,JUNGLE,0.5,10
Lulu,MIDDLE,0.5609756097560976,41
Lulu,NONE,0.5763888888888888,144
Lulu,TOP,0.75,8
Lux,BOTTOM,0.4785714285714286,280
Lux,JUNGLE,0.75,8
Lux,MIDDLE,0.49866666666666665,375
Lux,NONE,0.5732484076433121,157
Lux,TOP,0.5757575757575758,33
Malphite,BOTTOM,0.5,2
Malphite,JUNGLE,0.5,8
Malphite,MIDDLE,0.40425531914893614,47
Malphite,NONE,0.5416666666666666,24
Malphite,TOP,0.553030303030303,132
Malzahar,BOTTOM,1.0,1
Malzahar,JUNGLE,1.0,2
Malzahar,MIDDLE,0.5384615384615384,117
Malzahar,NONE,0.5185185185185185,27
Malzahar,TOP,0.6428571428571429,14
Maokai,BOTTOM,0.5106382978723404,47
Maokai,JUNGLE,0.3191489361702128,47
Maokai,MIDDLE,1.0,7
Maokai,NONE,0.53125,32
Maokai,TOP,0.5522388059701493,67
MasterYi,BOTTOM,0.5,2
MasterYi,JUNGLE,0.5491329479768786,173
MasterYi,NONE,0.631578947368421,19
MasterYi,TOP,0.3333333333333333,3
Milio,BOTTOM,0.543640897755611,401
Milio,JUNGLE,0.6666666666666666,3
Milio,MIDDLE,0.52,25
Milio,NONE,0.37349397590361444,83
Milio,TOP,0.5,2
MissFortune,BOTTOM,0.5,328
MissFortune,JUNGLE,0.6,5
MissFortune,MIDDLE,0.6521739130434783,23
MissFortune,NONE,0.589041095890411,73
MissFortune,TOP,0.3333333333333333,6
MonkeyKing,JUNGLE,0.49056603773584906,159
MonkeyKing,MIDDLE,0.5416666666666666,24
MonkeyKing,NONE,0.4222222222222222,45
MonkeyKing,TOP,0.5454545454545454,66
Mordekaiser,JUNGLE,0.4107142857142857,56
Mordekaiser,MIDDLE,0.4117647058823529,17
Mordekaiser,NONE,0.4,55
Mordekaiser,TOP,0.4438202247191011,178
Morgana,BOTTOM,0.42857142857142855,112
Morgana,JUNGLE,0.43478260869565216,23
Morgana,MIDDLE,0.6,20
Morgana,NONE,0.48148148148148145,27
Morgana,TOP,0.4,5
Naafiri,BOTTOM,0.0,2
Naafiri,JUNGLE,0.3333333333333333,3
Naafiri,MIDDLE,0.46511627906976744,43
Naafiri,NONE,0.2222222222222222,9
Naafiri,TOP,0.25,8
Nami,BOTTOM,0.5311909262759924,529
Nami,JUNGLE,0.0,1
Nami,MIDDLE,0.6363636363636364,22
Nami,NONE,0.5,118
Nami,TOP,0.25,12
Nasus,BOTTOM,0.75,4
Nasus,JUNGLE,0.5909090909090909,22
Nasus,MIDDLE,0.36363636363636365,11
Nasus,NONE,0.5333333333333333,30
Nasus,TOP,0.5660377358490566,106
Nautilus,BOTTOM,0.5169491525423728,472
Nautilus,JUNGLE,0.6363636363636364,11
Nautilus,MIDDLE,0.5614035087719298,57
Nautilus,NONE,0.42857142857142855,112
Nautilus,TOP,0.6666666666666666,18
Neeko,BOTTOM,0.5357142857142857,56
Neeko,JUNGLE,0.5,2
Neeko,MIDDLE,0.4166666666666667,48
Neeko,NONE,0.5,22
Neeko,TOP,0.42857142857142855,7
Nidalee,BOTTOM,0.5,2
Nidalee,JUNGLE,0.46551724137931033,116
Nidalee,MIDDLE,0.6666666666666666,6
Nidalee,NONE,0.4864864864864865,37
Nidalee,TOP,0.6363636363636364,22
Nilah,BOTTOM,0.5272727272727272,55
Nilah,JUNGLE,0.8,5
Nilah,MIDDLE,0.6666666666666666,6
Nilah,NONE,0.4444444444444444,18
Nilah,TOP,1.0,3
Nocturne,BOTTOM,1.0,1
Nocturne,JUNGLE,0.4879518072289157,166
Nocturne,NONE,0.5,22
Nocturne,TOP,0.0,1
Nunu,BOTTOM,0.0,2
Nunu,JUNGLE,0.5054945054945055,91
Nunu,MIDDLE,0.4,15
Nunu,NONE,0.5,20
Nunu,TOP,0.0,1
Olaf,JUNGLE,0.5,32
