player_champion,player_lane,grupo_maestria,binary_win
Chogath,NONE,Alta,0.3333333333333333
Chogath,NONE,Baixa,0.2727272727272727
Chogath,TOP,Alta,1.0
Chogath,TOP,Baixa,0.4807692307692308
Corki,BOTTOM,Alta,0.5333333333333333
Corki,BOTTOM,Baixa,0.4074074074074074
Corki,JUNGLE,Alta,1.0
Corki,JUNGLE,Baixa,0.0
Corki,MIDDLE,Alta,0.3611111111111111
Corki,MIDDLE,Baixa,0.4473684210526316
Corki,NONE,Alta,0.55
Corki,NONE,Baixa,0.43333333333333335
Corki,TOP,Alta,0.46153846153846156
Corki,TOP,Baixa,0.4
Darius,BOTTOM,Alta,0.0
Darius,BOTTOM,Baixa,0.0
Darius,JUNGLE,Alta,0.5882352941176471
Darius,JUNGLE,Baixa,0.3333333333333333
Darius,MIDDLE,Alta,0.6153846153846154
Darius,MIDDLE,Baixa,0.5454545454545454
Darius,NONE,Alta,0.5535714285714286
Darius,NONE,Baixa,0.5789473684210527
Darius,TOP,Alta,0.48366013071895425
Darius,TOP,Baixa,0.4166666666666667
Diana,BOTTOM,Alta,0.6666666666666666
Diana,JUNGLE,Alta,0.5344827586206896
Diana,JUNGLE,Baixa,0.5185185185185185
Diana,MIDDLE,Alta,0.4811320754716981
Diana,MIDDLE,Baixa,0.3181818181818182
Diana,NONE,Alta,0.52
Diana,NONE,Baixa,0.4117647058823529
Diana,TOP,Alta,0.5555555555555556
Diana,TOP,Baixa,0.25
DrMundo,BOTTOM,Alta,1.0
DrMundo,BOTTOM,Baixa,0.6666666666666666
DrMundo,JUNGLE,Alta,0.45
DrMundo,JUNGLE,Baixa,0.7777777777777778
DrMundo,MIDDLE,Alta,0.0
DrMundo,MIDDLE,Baixa,0.0
DrMundo,NONE,Alta,0.43243243243243246
DrMundo,NONE,Baixa,0.25
DrMundo,TOP,Alta,0.5773195876288659
DrMundo,TOP,Baixa,0.4782608695652174
Draven,BOTTOM,Alta,0.4971751412429379
Draven,BOTTOM,Baixa,0.5729166666666666
Draven,JUNGLE,Alta,0.9090909090909091
Draven,JUNGLE,Baixa,0.6666666666666666
Draven,MIDDLE,Alta,0.5185185185185185
Draven,MIDDLE,Baixa,0.375
Draven,NONE,Alta,0.5230769230769231
Draven,NONE,Baixa,0.25
Draven,TOP,Alta,0.2727272727272727
Draven,TOP,Baixa,0.75
Ekko,BOTTOM,Baixa,1.0
Ekko,JUNGLE,Alta,0.5698924731182796
Ekko,JUNGLE,Baixa,0.44594594594594594
Ekko,MIDDLE,Alta,0.3333333333333333
Ekko,MIDDLE,Baixa,0.4074074074074074
Ekko,NONE,Alta,0.6875
Ekko,NONE,Baixa,0.48
Ekko,TOP,Alta,0.5
Ekko,TOP,Baixa,0.0
Elise,BOTTOM,Baixa,1.0
Elise,JUNGLE,Alta,0.5263157894736842
Elise,JUNGLE,Baixa,0.4583333333333333
Elise,MIDDLE,Baixa,1.0
Elise,NONE,Alta,0.56
Elise,NONE,Baixa,0.42857142857142855
Elise,TOP,Alta,0.0
Evelynn,JUNGLE,Alta,0.5227272727272727
Evelynn,JUNGLE,Baixa,0.6111111111111112
Evelynn,NONE,Alta,0.47058823529411764
Evelynn,NONE,Baixa,0.25
Ezreal,BOTTOM,Alta,0.4976190476190476
Ezreal,BOTTOM,Baixa,0.4
Ezreal,JUNGLE,Alta,0.7777777777777778
Ezreal,JUNGLE,Baixa,0.125
Ezreal,MIDDLE,Alta,0.45614035087719296
Ezreal,MIDDLE,Baixa,0.4482758620689655
Ezreal,NONE,Alta,0.5567010309278351
Ezreal,NONE,Baixa,0.4868421052631579
Ezreal,TOP,Alta,0.5
Ezreal,TOP,Baixa,0.3333333333333333
FiddleSticks,BOTTOM,Baixa,0.16666666666666666
FiddleSticks,JUNGLE,Alta,0.5967741935483871
FiddleSticks,JUNGLE,Baixa,0.46511627906976744
FiddleSticks,MIDDLE,Baixa,0.0
FiddleSticks,NONE,Alta,0.5555555555555556
FiddleSticks,NONE,Baixa,0.3333333333333333
FiddleSticks,TOP,Baixa,1.0
Fiora,JUNGLE,Alta,0.6363636363636364
Fiora,JUNGLE,Baixa,0.5
Fiora,MIDDLE,Alta,0.6666666666666666
Fiora,MIDDLE,Baixa,0.5
Fiora,NONE,Alta,0.6
Fiora,NONE,Baixa,0.5384615384615384
Fiora,TOP,Alta,0.5172413793103449
Fiora,TOP,Baixa,0.4393939393939394
Fizz,BOTTOM,Baixa,1.0
Fizz,JUNGLE,Alta,1.0
Fizz,JUNGLE,Baixa,1.0
Fizz,MIDDLE,Alta,0.44680851063829785
Fizz,MIDDLE,Baixa,0.5652173913043478
Fizz,NONE,Alta,0.6923076923076923
Fizz,NONE,Baixa,0.8
Fizz,TOP,Alta,0.75
Fizz,TOP,Baixa,0.5
