Campeão,Taxa_Vitoria_Media,Variabilidade,Popularidade,Cluster
Sett,0.1239945116199296,0.29983469839315235,27,1
Shaco,0.1933769714834803,0.32110604649986657,54,2
Shen,0.1993248368988013,0.3545190020615526,47,0
Shyvana,0.1451676528599605,0.31393856080839055,34,2
Singed,0.1507748661594815,0.32190299982324944,35,2
Sion,0.1619839666274938,0.3285558145748058,38,2
Sivir,0.2435079220582179,0.373726599284609,57,0
Skarner,0.192600592325867,0.32413393871441776,51,2
Smolder,0.2260263957468877,0.3085285328416687,72,0
Sona,0.1872781065088757,0.3261211637608592,49,2
Soraka,0.2564086308169149,0.35883506383382346,64,0
Swain,0.2534582310600409,0.369901857516538,63,0
Sylas,0.1972387382851412,0.3105938390235204,59,2
Syndra,0.1965173797274389,0.32067185385742986,55,2
TahmKench,0.2315801719647873,0.35294585695320757,58,0
Taliyah,0.2104737704940134,0.3295120989313308,58,0
Talon,0.2231144923452615,0.36431751775174603,54,0
Taric,0.1660749506903353,0.33928171428849974,36,2
Teemo,0.1103777878925808,0.28096037375139266,26,1
Thresh,0.2663187405940332,0.3336281337855884,77,3
Tristana,0.2318423029961491,0.3526999369935606,61,0
Trundle,0.1932709194563778,0.3666905379854744,41,0
Tryndamere,0.1325269752871563,0.31587907062875825,28,2
TwistedFate,0.1683739830189534,0.3210429019242538,43,2
Twitch,0.2179589641128101,0.3517978706232393,56,0
Udyr,0.1816636683500589,0.30260059250751703,50,2
Urgot,0.1060157790927021,0.2819732242969848,23,1
Varus,0.2504639433737936,0.3216415909510484,73,0
Vayne,0.2237534244191048,0.32407448451412324,62,0
Veigar,0.22189004289596,0.35487719924331285,55,0
Velkoz,0.2047102470179393,0.3368814509393997,54,0
Vex,0.1686249647788109,0.31103854216322857,46,2
Vi,0.2287264018033249,0.3392501465237097,61,0
Viego,0.2513532016577613,0.3586739031115637,64,0
Viktor,0.2358074207186632,0.3493909156522535,63,0
Vladimir,0.2928368952290153,0.3734309576345876,72,3
Volibear,0.2039992733312571,0.3490207284677462,50,0
Warwick,0.1373767258382643,0.3195799917419045,30,2
Xayah,0.2425745822804646,0.3407267216158507,67,0
Xerath,0.2052069725146648,0.3336572847309844,55,0
XinZhao,0.2461468019160326,0.3581285355585655,61,0
Yasuo,0.259887597126546,0.3458471726307091,73,3
Yone,0.2361068472976151,0.3362096923841019,68,0
Yorick,0.1993535705601037,0.35577307337288844,45,0
Yuumi,0.1751714097867944,0.32349771178644804,47,2
Zac,0.2510727464168759,0.3553543159884936,66,0
Zed,0.2207129491153159,0.347135086699761,57,0
Zeri,0.2159418936359874,0.3288980586166321,63,0
Ziggs,0.1902612509121385,0.3306550595216548,48,2
Zilean,0.1584906546445007,0.3144940406640477,39,2
Zoe,0.2275021493956405,0.35539110794813394,57,0
Zyra,0.2397640965601286,0.35637902426393,61,0
