ADC_Maestria,Suporte_Maestria,ADC,Suporte,Frequencia
Alta,Alta,Samira,Sona,8277
Alta,Alta,Samira,Soraka,22134
Alta,Alta,Samira,Thresh,36270
Alta,Alta,Samira,Zoe,3906
Alta,Alta,Seraphine,Rell,12221
Alta,Alta,Seraphine,Senna,19481
Alta,Alta,Seraphine,Zoe,5082
Alta,Alta,Singed,Alistar,2139
Alta,Alta,Singed,Rell,2323
Alta,Alta,Singed,Thresh,8970
Alta,Alta,Sivir,Braum,7371
Alta,Alta,Sivir,Karma,24624
Alta,Alta,Sivir,Leona,8181
Alta,Alta,Sivir,Lulu,38799
Alta,Alta,Sivir,Milio,20736
Alta,Alta,Sivir,Pyke,12798
Alta,Alta,Sivir,Soraka,19278
Alta,Alta,Sivir,Taric,3402
Alta,Alta,Sivir,Thresh,31590
Alta,Alta,Smolder,Alistar,28458
Alta,Alta,Smolder,Braum,13923
Alta,Alta,Smolder,Karma,93024
Alta,Alta,Smolder,Leona,15453
Alta,Alta,Smolder,Lux,51408
Alta,Alta,Smolder,MissFortune,24174
Alta,Alta,Smolder,Nami,58140
Alta,Alta,Smolder,Rakan,38556
Alta,Alta,Smolder,Rell,61812
Alta,Alta,Smolder,Renata,1836
Alta,Alta,Smolder,Seraphine,18513
Alta,Alta,Smolder,Soraka,72828
Alta,Alta,Smolder,TahmKench,14688
Alta,Alta,Smolder,Thresh,59670
Alta,Alta,Smolder,Velkoz,25704
Alta,Alta,Smolder,Xerath,7956
Alta,Alta,Smolder,Zilean,5508
Alta,Alta,Smolder,Zyra,28764
Alta,Alta,Swain,Xerath,2028
Alta,Alta,Tristana,Brand,567
Alta,Alta,Tristana,Milio,6912
Alta,Alta,Tristana,Senna,4347
Alta,Alta,Tristana,Seraphine,3267
Alta,Alta,Tristana,Soraka,6426
Alta,Alta,Tristana,Thresh,10530
Alta,Alta,Tristana,Velkoz,2268
Alta,Alta,Tristana,Zilean,972
Alta,Alta,Twitch,Lulu,32572
Alta,Alta,Twitch,Nami,25840
Alta,Alta,Twitch,Pyke,10744
Alta,Alta,Twitch,Seraphine,8228
Alta,Alta,Twitch,Sona,6052
Alta,Alta,Twitch,Yuumi,6392
Alta,Alta,Varus,Ashe,57592
Alta,Alta,Varus,Brand,3864
Alta,Alta,Varus,Hwei,7544
Alta,Alta,Varus,Janna,22264
Alta,Alta,Varus,Karma,223744
Alta,Alta,Varus,Leona,18584
Alta,Alta,Varus,Nami,209760
Alta,Alta,Varus,Nautilus,51888
Alta,Alta,Varus,Pantheon,1656
Alta,Alta,Varus,Rakan,23184
Alta,Alta,Varus,Rell,55752
Alta,Alta,Varus,Senna,29624
Alta,Alta,Varus,Seraphine,22264
Alta,Alta,Varus,Thresh,143520
Alta,Alta,Vayne,Anivia,3120
Alta,Alta,Vayne,Camille,4680
Alta,Alta,Vayne,Karma,39520
Alta,Alta,Vayne,Leona,13130
Alta,Alta,Vayne,Lulu,62270
Alta,Alta,Vayne,Pyke,20540
Alta,Alta,Vayne,Seraphine,31460
Alta,Alta,Vayne,Soraka,61880
Alta,Alta,Vayne,TahmKench,24960
Alta,Alta,Vayne,Thresh,50700
Alta,Alta,Veigar,Leona,6060
Alta,Alta,Veigar,Soraka,7140
Alta,Alta,Xayah,Alistar,8184
Alta,Alta,Xayah,Bard,4576
Alta,Alta,Xayah,Braum,8008
Alta,Alta,Xayah,Lulu,84304
Alta,Alta,Xayah,Nautilus,49632
Alta,Alta,Xayah,Rakan,11088
Alta,Alta,Xayah,Soraka,20944
Alta,Alta,Xayah,Thresh,102960
Alta,Alta,Yasuo,Ivern,217
Alta,Alta,Zeri,Braum,11648
Alta,Alta,Zeri,Janna,15488
Alta,Alta,Zeri,Karma,38912
Alta,Alta,Zeri,Leona,12928
Alta,Alta,Zeri,Lulu,122624
Alta,Alta,Zeri,Nami,97280
Alta,Alta,Zeri,Neeko,3456
Alta,Alta,Zeri,Pyke,20224
Alta,Alta,Zeri,Renata,1536
Alta,Alta,Zeri,Soraka,30464
Alta,Alta,Zeri,Taric,5376
Alta,Alta,Zeri,Thresh,49920
Alta,Alta,Zeri,Xerath,6656
Alta,Alta,Zeri,Yuumi,12032
Alta,Alta,Ziggs,Alistar,2046
Alta,Alta,Ziggs,Hwei,902
Alta,Alta,Ziggs,Morgana,594
Alta,Alta,Ziggs,Rell,2222
Alta,Alta,Ziggs,Soraka,5236
Alta,Alta,Ziggs,TahmKench,2112
Alta,Alta,Ziggs,Thresh,8580
Alta,Baixa,Anivia,Alistar,2472
Alta,Baixa,Anivia,Janna,1992
Alta,Baixa,Anivia,Karma,3720
Alta,Baixa,Aphelios,Alistar,5356
Alta,Baixa,Aphelios,Janna,4316
Alta,Baixa,Aphelios,Senna,8372
Alta,Baixa,Aphelios,Velkoz,1768
Alta,Baixa,Ashe,Braum,82632
Alta,Baixa,Ashe,Ivern,939
Alta,Baixa,Ashe,Karma,48515
Alta,Baixa,Ashe,Lulu,104542
Alta,Baixa,Ashe,Lux,35056
Alta,Baixa,Ashe,Milio,90770
Alta,Baixa,Ashe,Morgana,53210
Alta,Baixa,Ashe,Nautilus,59470
Alta,Baixa,Ashe,Poppy,17841
Alta,Baixa,Ashe,Pyke,20032
Alta,Baixa,Ashe,Rakan,42881
Alta,Baixa,Ashe,Rell,75120
Alta,Baixa,Ashe,Senna,50393
Alta,Baixa,Ashe,Sona,17215
Alta,Baixa,Ashe,Soraka,26292
Alta,Baixa,Ashe,TahmKench,13772
Alta,Baixa,Ashe,Thresh,141789
Alta,Baixa,Caitlyn,Blitzcrank,31832
Alta,Baixa,Caitlyn,Camille,4498
Alta,Baixa,Caitlyn,Janna,28718
Alta,Baixa,Caitlyn,Karma,53630
Alta,Baixa,Caitlyn,Lulu,57782
Alta,Baixa,Caitlyn,Lux,116256
Alta,Baixa,Caitlyn,Milio,100340
Alta,Baixa,Caitlyn,Morgana,29410
Alta,Baixa,Caitlyn,Nami,51554
Alta,Baixa,Caitlyn,Nautilus,197220
Alta,Baixa,Caitlyn,Poppy,19722
Alta,Baixa,Caitlyn,Pyke,22144
Alta,Baixa,Caitlyn,Rell,83040
Alta,Baixa,Caitlyn,Seraphine,36330
Alta,Baixa,Caitlyn,Sona,38060
Alta,Baixa,Caitlyn,Thresh,104492
Alta,Baixa,Caitlyn,Velkoz,11764
Alta,Baixa,Caitlyn,Xerath,11764
Alta,Baixa,Caitlyn,Zoe,3460
Alta,Baixa,Caitlyn,Zyra,38752
Alta,Baixa,Corki,Blitzcrank,6348
Alta,Baixa,Corki,Braum,9108
Alta,Baixa,Corki,Karma,21390
Alta,Baixa,Corki,Nautilus,13110
Alta,Baixa,Corki,Pyke,4416
Alta,Baixa,Corki,Renata,5106
Alta,Baixa,Corki,Senna,11109
Alta,Baixa,Corki,Soraka,5796
Alta,Baixa,Corki,Thresh,10419
Alta,Baixa,Draven,Alistar,17613
Alta,Baixa,Draven,Braum,45144
Alta,Baixa,Draven,Karma,26505
Alta,Baixa,Draven,Lulu,28557
Alta,Baixa,Draven,Milio,24795
Alta,Baixa,Draven,Nautilus,32490
Alta,Baixa,Draven,Rell,20520
Alta,Baixa,Draven,Swain,11799
Alta,Baixa,Ezreal,Braum,53592
Alta,Baixa,Ezreal,Janna,33698
Alta,Baixa,Ezreal,Karma,62930
Alta,Baixa,Ezreal,Lulu,135604
Alta,Baixa,Ezreal,Lux,90944
Alta,Baixa,Ezreal,Milio,58870
Alta,Baixa,Ezreal,Morgana,34510
Alta,Baixa,Ezreal,Nami,181482
Alta,Baixa,Ezreal,Nautilus,154280
Alta,Baixa,Ezreal,Pyke,77952
Alta,Baixa,Ezreal,Rell,97440
Alta,Baixa,Ezreal,Renata,30044
Alta,Baixa,Ezreal,Senna,65366
Alta,Baixa,Ezreal,Seraphine,85260
Alta,Baixa,Ezreal,Sona,44660
Alta,Baixa,Ezreal,Soraka,136416
Alta,Baixa,Ezreal,Thresh,245224
Alta,Baixa,Ezreal,Velkoz,13804
Alta,Baixa,Ezreal,Yuumi,15428
Alta,Baixa,Ezreal,Zilean,15022
Alta,Baixa,Ezreal,Zyra,22736
Alta,Baixa,Hwei,Alistar,4223
Alta,Baixa,Hwei,Karma,6355
Alta,Baixa,Hwei,Zilean,1517
Alta,Baixa,Jhin,Alistar,44290
Alta,Baixa,Jhin,Bard,22790
Alta,Baixa,Jhin,Blitzcrank,39560
Alta,Baixa,Jhin,Ivern,1290
Alta,Baixa,Jhin,Karma,399900
Alta,Baixa,Jhin,Leona,107500
Alta,Baixa,Jhin,Lulu,143620
Alta,Baixa,Jhin,Milio,187050
Alta,Baixa,Jhin,Nautilus,245100
Alta,Baixa,Jhin,Poppy,49020
Alta,Baixa,Jhin,Rakan,58910
Alta,Baixa,Jhin,Senna,69230
Alta,Baixa,Jhin,Seraphine,45150
Alta,Baixa,Jhin,Sona,23650
Alta,Baixa,Jhin,Soraka,36120
Alta,Baixa,Jhin,Swain,29670
Alta,Baixa,Jhin,TahmKench,18920
Alta,Baixa,Jhin,Taric,5160
Alta,Baixa,Jhin,Thresh,129860
Alta,Baixa,Jhin,Zoe,2150
Alta,Baixa,Jinx,Alistar,173967
Alta,Baixa,Jinx,Bard,29839
Alta,Baixa,Jinx,Blitzcrank,51796
Alta,Baixa,Jinx,Braum,74316
Alta,Baixa,Jinx,Galio,4504
Alta,Baixa,Jinx,Janna,186916
Alta,Baixa,Jinx,Karma,174530
Alta,Baixa,Jinx,Leona,70375
Alta,Baixa,Jinx,Lulu,282063
Alta,Baixa,Jinx,Lux,63056
Alta,Baixa,Jinx,Milio,326540
Alta,Baixa,Jinx,Nami,167774
Alta,Baixa,Jinx,Nautilus,213940
Alta,Baixa,Jinx,Neeko,16327
Alta,Baixa,Jinx,Pyke,36032
Alta,Baixa,Jinx,Rell,135120
Alta,Baixa,Jinx,Seraphine,177345
Alta,Baixa,Jinx,Sona,30965
Alta,Baixa,Jinx,Soraka,283752
Alta,Baixa,Jinx,Swain,77694
Alta,Baixa,Jinx,TahmKench,49544
Alta,Baixa,Jinx,Thresh,510078
Alta,Baixa,Jinx,Velkoz,19142
Alta,Baixa,Jinx,Yuumi,21394
Alta,Baixa,Jinx,Zac,3941
Alta,Baixa,Jinx,Zyra,31528
Alta,Baixa,Kaisa,Ashe,370788
Alta,Baixa,Kaisa,Bard,30899
Alta,Baixa,Kaisa,Braum,153912
Alta,Baixa,Kaisa,Hwei,21571
Alta,Baixa,Kaisa,Karma,451825
Alta,Baixa,Kaisa,Lulu,389444
Alta,Baixa,Kaisa,Lux,65296
Alta,Baixa,Kaisa,Maokai,25069
Alta,Baixa,Kaisa,Milio,84535
Alta,Baixa,Kaisa,Nami,260601
Alta,Baixa,Kaisa,Nautilus,443080
Alta,Baixa,Kaisa,Poppy,33231
Alta,Baixa,Kaisa,Pyke,111936
Alta,Baixa,Kaisa,Rakan,239613
Alta,Baixa,Kaisa,Rell,209880
Alta,Baixa,Kaisa,Seraphine,122430
Alta,Baixa,Kaisa,Shaco,5247
Alta,Baixa,Kaisa,TahmKench,51304
Alta,Baixa,Kaisa,Thresh,264099
Alta,Baixa,Kaisa,Xerath,19822
Alta,Baixa,Kaisa,Zyra,32648
Alta,Baixa,Kalista,Leona,12250
Alta,Baixa,Kalista,Lulu,16366
Alta,Baixa,Kalista,Nautilus,9310
Alta,Baixa,Kalista,Rakan,6713
Alta,Baixa,Kalista,Rell,5880
Alta,Baixa,Kalista,Renata,3626
Alta,Baixa,Kalista,Yuumi,1862
Alta,Baixa,KogMaw,Alistar,5768
Alta,Baixa,KogMaw,Lulu,9352
Alta,Baixa,KogMaw,Milio,8120
Alta,Baixa,KogMaw,Nami,16688
Alta,Baixa,KogMaw,Rakan,7672
Alta,Baixa,KogMaw,Soraka,4704
Alta,Baixa,KogMaw,Thresh,25368
Alta,Baixa,KogMaw,Yuumi,2128
Alta,Baixa,Lucian,Alistar,22351
Alta,Baixa,Lucian,Braum,85932
Alta,Baixa,Lucian,Hwei,8029
Alta,Baixa,Lucian,Janna,18011
Alta,Baixa,Lucian,Karma,100905
Alta,Baixa,Lucian,Lulu,72478
Alta,Baixa,Lucian,Milio,94395
Alta,Baixa,Lucian,Nami,64666
Alta,Baixa,Lucian,Nautilus,41230
Alta,Baixa,Lucian,Sona,11935
Alta,Baixa,Lucian,Soraka,18228
Alta,Baixa,Lucian,TahmKench,9548
Alta,Baixa,Lucian,Thresh,65534
Alta,Baixa,Lucian,Yuumi,8246
Alta,Baixa,Lux,Lulu,28056
Alta,Baixa,Lux,Rakan,46032
Alta,Baixa,Lux,Seraphine,17640
Alta,Baixa,Lux,Soraka,14112
Alta,Baixa,Lux,Xerath,5712
Alta,Baixa,Lux,Ziggs,16296
Alta,Baixa,MissFortune,Braum,20856
Alta,Baixa,MissFortune,Karma,24490
Alta,Baixa,MissFortune,Leona,39500
Alta,Baixa,MissFortune,Lulu,52772
Alta,Baixa,MissFortune,Nami,23542
Alta,Baixa,MissFortune,Nautilus,30020
Alta,Baixa,MissFortune,Poppy,9006
Alta,Baixa,MissFortune,Pyke,10112
Alta,Baixa,MissFortune,Rakan,21646
Alta,Baixa,MissFortune,Rell,37920
Alta,Baixa,MissFortune,Shaco,1422
Alta,Baixa,MissFortune,Thresh,47716
Alta,Baixa,MissFortune,Zyra,17696
Alta,Baixa,Nautilus,Senna,45402
Alta,Baixa,Nilah,Blitzcrank,2760
Alta,Baixa,Nilah,Janna,2490
Alta,Baixa,Nilah,Thresh,4530
Alta,Baixa,Rengar,Ivern,1380
Alta,Baixa,Samira,Alistar,9579
Alta,Baixa,Samira,Braum,12276
Alta,Baixa,Samira,Leona,11625
Alta,Baixa,Samira,Lulu,15531
Alta,Baixa,Samira,Nami,13857
Alta,Baixa,Samira,Nautilus,70680
Alta,Baixa,Samira,Pyke,11904
Alta,Baixa,Samira,Renata,6882
Alta,Baixa,Samira,Senna,14973
Alta,Baixa,Samira,Sona,5115
Alta,Baixa,Samira,Soraka,7812
Alta,Baixa,Samira,Thresh,14043
Alta,Baixa,Samira,Zoe,465
Alta,Baixa,Seraphine,Rell,14520
Alta,Baixa,Seraphine,Senna,19481
Alta,Baixa,Seraphine,Sion,726
Alta,Baixa,Seraphine,Zoe,605
Alta,Baixa,Singed,Alistar,2369
Alta,Baixa,Singed,Rell,2760
Alta,Baixa,Singed,Thresh,3473
Alta,Baixa,Sivir,Braum,10692
Alta,Baixa,Sivir,Karma,12555
Alta,Baixa,Sivir,Leona,10125
Alta,Baixa,Sivir,Lulu,13527
Alta,Baixa,Sivir,Milio,11745
Alta,Baixa,Sivir,Pyke,5184
Alta,Baixa,Sivir,Soraka,6804
Alta,Baixa,Sivir,Taric,972
Alta,Baixa,Sivir,Thresh,12231
Alta,Baixa,Smolder,Alistar,31518
Alta,Baixa,Smolder,Braum,20196
Alta,Baixa,Smolder,Karma,47430
Alta,Baixa,Smolder,Leona,19125
Alta,Baixa,Smolder,Lux,34272
Alta,Baixa,Smolder,MissFortune,26010
Alta,Baixa,Smolder,Nami,22797
Alta,Baixa,Smolder,Rakan,41922
Alta,Baixa,Smolder,Rell,73440
Alta,Baixa,Smolder,Renata,11322
Alta,Baixa,Smolder,Seraphine,16065
Alta,Baixa,Smolder,Soraka,25704
