player_champion,Posição_Counter,Counter,Campeão,Taxa_Vitoria_Media
Zoe,Counter 1,Jax,Jax,0.2399964269786755
Zyra,Counter 1,Jax,Jax,0.2399964269786755
Aatrox,Counter 2,Sylas,Sylas,0.19723873828514127
Ahri,Counter 2,Lillia,Lillia,0.1698669180917702
Akali,Counter 2,Nidalee,Nidalee,0.15382722690415002
Akshan,Counter 2,Poppy,Poppy,0.2337487413026232
Ambessa,Counter 2,Ornn,Ornn,0.1767094017094017
Amumu,Counter 2,Naafiri,Naafiri,0.09911242603550297
Anivia,Counter 2,Morgana,Morgana,0.17632324940017247
Annie,Counter 2,Rammus,Rammus,0.15828402366863906
Aphelios,Counter 2,Nilah,Nilah,0.1650887573964497
Ashe,Counter 2,Lissandra,Lissandra,0.19229615609214273
Aurelionsol,Counter 2,Nami,Nami,0.3001256457642889
Aurora,Counter 2,Zoe,Zoe,0.22750214939564056
Azir,Counter 2,Nidalee,Nidalee,0.15382722690415002
Bard,Counter 2,Nilah,Nilah,0.1650887573964497
Blitzcrank,Counter 2,Nocturne,Nocturne,0.20689438766361842
Brand,Counter 2,Olaf,Olaf,0.1569119286510591
Briar,Counter 2,Qiyana,Qiyana,0.12495069033530572
Caitlyn,Counter 2,Lucian,Lucian,0.28122446296336645
Camille,Counter 2,Nunu,Nunu,0.14861932938856012
Cassiopeia,Counter 2,Quinn,Quinn,0.14929557621865314
Chogath,Counter 2,Qiyana,Qiyana,0.12495069033530572
Corki,Counter 2,Syndra,Syndra,0.19651737972743893
Darius,Counter 2,Nami,Nami,0.3001256457642889
Diana,Counter 2,Milio,Milio,0.269655928053074
Drmundo,Counter 2,Qiyana,Qiyana,0.12495069033530572
Draven,Counter 2,Malzahar,Malzahar,0.20562599793369027
Ekko,Counter 2,Orianna,Orianna,0.18312286004593697
Ezreal,Counter 2,Malzahar,Malzahar,0.20562599793369027
Fiddlesticks,Counter 2,Vayne,Vayne,0.22375342441910484
Fiora,Counter 2,Pantheon,Pantheon,0.21095515320081076
Fizz,Counter 2,Viego,Viego,0.2513532016577613
Galio,Counter 2,Poppy,Poppy,0.2337487413026232
Gangplank,Counter 2,Varus,Varus,0.2504639433737936
