player_champion,player_lane,kills_media,deaths_media,assists_media,duracao_media,taxa_vitoria,cluster
Brand,TOP,6.5,5.5,13.5,1863.5,0.75,2
Braum,BOTTOM,1.663677130044843,5.834080717488789,17.062780269058297,1580.8744394618834,0.5381165919282511,0
Braum,JUNGLE,2.3333333333333335,6.0,17.166666666666668,1311.1666666666667,0.5,0
Braum,MIDDLE,1.4545454545454546,5.7272727272727275,16.545454545454547,1414.6363636363637,0.4090909090909091,0
Braum,NONE,0.5777777777777777,2.6,5.044444444444444,676.2666666666667,0.4666666666666667,3
Braum,TOP,1.6,5.8,21.2,1553.0,1.0,0
Briar,BOTTOM,13.5,9.5,11.0,2103.5,0.0,1
Briar,JUNGLE,8.146341463414634,7.695121951219512,8.670731707317072,1670.1951219512196,0.47560975609756095,1
Briar,NONE,3.7857142857142856,3.857142857142857,4.285714285714286,758.0714285714286,0.35714285714285715,3
Caitlyn,BOTTOM,8.139751552795031,6.503105590062112,6.571428571428571,1640.0186335403728,0.4968944099378882,1
Caitlyn,JUNGLE,9.461538461538462,7.8076923076923075,6.5,1615.423076923077,0.5769230769230769,1
Caitlyn,MIDDLE,9.851063829787234,7.0638297872340425,6.553191489361702,1636.1489361702127,0.574468085106383,1
Caitlyn,NONE,2.762589928057554,2.856115107913669,2.0719424460431655,753.4028776978417,0.43884892086330934,3
Caitlyn,TOP,7.870967741935484,7.580645161290323,6.064516129032258,1594.516129032258,0.6451612903225806,1
Camille,BOTTOM,6.591836734693878,9.816326530612244,13.591836734693878,1780.530612244898,0.6122448979591837,1
Camille,JUNGLE,6.918918918918919,6.675675675675675,4.918918918918919,1524.7567567567567,0.40540540540540543,1
Camille,MIDDLE,8.318181818181818,6.181818181818182,8.454545454545455,1649.0,0.6363636363636364,2
Camille,NONE,2.1636363636363636,2.109090909090909,2.0545454545454547,662.6909090909091,0.5272727272727272,3
Camille,TOP,6.245283018867925,6.518867924528302,6.080188679245283,1554.3066037735848,0.49528301886792453,1
Cassiopeia,BOTTOM,6.5,5.833333333333333,6.833333333333333,1704.8333333333333,0.3333333333333333,1
Cassiopeia,JUNGLE,6.333333333333333,6.555555555555555,4.666666666666667,1755.3333333333333,0.3333333333333333,1
Cassiopeia,MIDDLE,7.12962962962963,6.222222222222222,6.185185185185185,1459.1296296296296,0.5555555555555556,1
Cassiopeia,NONE,2.15,2.5,1.2,794.7,0.55,3
Cassiopeia,TOP,5.894736842105263,6.315789473684211,4.868421052631579,1648.0526315789473,0.4473684210526316,1
Chogath,BOTTOM,4.2,6.2,8.4,1630.0,0.6,1
Chogath,JUNGLE,7.555555555555555,7.055555555555555,5.944444444444445,1544.0,0.6666666666666666,1
Chogath,MIDDLE,8.272727272727273,5.909090909090909,6.2727272727272725,1717.4545454545455,0.6363636363636364,2
Chogath,NONE,1.5714285714285714,2.0,0.42857142857142855,729.2142857142857,0.2857142857142857,3
Chogath,TOP,6.786885245901639,6.081967213114754,6.147540983606557,1663.311475409836,0.5573770491803278,1
Corki,BOTTOM,8.751937984496124,6.395348837209302,8.465116279069768,1628.2403100775193,0.4806201550387597,1
Corki,JUNGLE,8.0,7.333333333333333,6.333333333333333,1500.6666666666667,0.3333333333333333,1
Corki,MIDDLE,7.375,6.196428571428571,7.107142857142857,1655.3392857142858,0.41964285714285715,1
Corki,NONE,3.14,2.66,2.1,792.52,0.48,3
Corki,TOP,7.434782608695652,6.521739130434782,6.3478260869565215,1626.2608695652175,0.43478260869565216,1
Darius,BOTTOM,4.666666666666667,8.666666666666666,3.0,898.6666666666666,0.0,1
Darius,JUNGLE,7.262295081967213,6.065573770491803,4.016393442622951,1678.7704918032787,0.47540983606557374,1
Darius,MIDDLE,8.083333333333334,6.166666666666667,4.25,1598.2916666666667,0.5833333333333334,1
Darius,NONE,2.52,2.2266666666666666,1.04,687.5333333333333,0.56,3
Darius,TOP,6.706666666666667,6.706666666666667,4.3244444444444445,1566.0355555555554,0.4622222222222222,1
Diana,BOTTOM,7.333333333333333,5.333333333333333,5.0,961.3333333333334,0.6666666666666666,2
Diana,JUNGLE,8.050761421319796,6.959390862944162,7.472081218274112,1608.0,0.5279187817258884,1
Diana,MIDDLE,7.266666666666667,6.453333333333333,6.266666666666667,1575.6733333333334,0.43333333333333335,1
Diana,NONE,2.2686567164179103,2.1044776119402986,1.6119402985074627,631.4029850746268,0.4925373134328358,3
Diana,TOP,8.307692307692308,8.384615384615385,7.0,1825.3846153846155,0.46153846153846156,1
DrMundo,BOTTOM,6.8,4.6,8.8,1704.8,0.8,2
DrMundo,JUNGLE,5.206896551724138,5.413793103448276,7.689655172413793,1640.8620689655172,0.5517241379310345,1
DrMundo,MIDDLE,5.375,5.375,3.875,1670.375,0.0,1
DrMundo,NONE,1.3170731707317074,2.024390243902439,1.0731707317073171,756.560975609756,0.4146341463414634,3
DrMundo,TOP,4.93006993006993,5.5874125874125875,5.461538461538462,1597.8951048951049,0.5454545454545454,1
Draven,BOTTOM,8.97069597069597,6.8791208791208796,5.937728937728938,1613.5531135531135,0.5238095238095238,1
Draven,JUNGLE,12.571428571428571,7.071428571428571,7.142857142857143,1664.142857142857,0.8571428571428571,2
Draven,MIDDLE,9.485714285714286,6.628571428571429,5.257142857142857,1657.0285714285715,0.4857142857142857,1
Draven,NONE,3.010752688172043,2.6236559139784945,1.956989247311828,788.1935483870968,0.44086021505376344,3
Draven,TOP,8.533333333333333,7.066666666666666,5.933333333333334,1616.6,0.4,1
Ekko,BOTTOM,13.333333333333334,6.0,11.0,1047.0,1.0,2
Ekko,JUNGLE,8.988461538461538,6.023076923076923,7.661538461538462,1550.4192307692308,0.5346153846153846,1
Ekko,MIDDLE,7.25,6.458333333333333,5.166666666666667,1595.7916666666667,0.375,1
Ekko,NONE,3.5964912280701755,2.2982456140350878,2.5789473684210527,811.1929824561404,0.5964912280701754,3
Ekko,TOP,9.428571428571429,7.428571428571429,5.428571428571429,1656.2857142857142,0.2857142857142857,1
Elise,BOTTOM,9.5,13.5,16.0,2230.5,1.0,2
Elise,JUNGLE,8.891891891891891,6.824324324324325,8.763513513513514,1634.162162162162,0.49324324324324326,1
Elise,MIDDLE,22.0,5.0,8.0,1396.0,1.0,2
Elise,NONE,3.358974358974359,2.076923076923077,2.948717948717949,811.9487179487179,0.5128205128205128,3
Elise,TOP,7.0,6.0,14.0,171.0,0.0,3
Evelynn,JUNGLE,9.018867924528301,5.320754716981132,7.056603773584905,1601.2075471698113,0.5377358490566038,1
Evelynn,NONE,3.0476190476190474,1.7142857142857142,2.1904761904761907,743.9047619047619,0.42857142857142855,3
Ezreal,BOTTOM,7.401324503311258,6.129801324503311,7.354966887417219,1651.4582781456954,0.4543046357615894,1
Ezreal,JUNGLE,7.882352941176471,6.647058823529412,8.117647058823529,1669.8823529411766,0.47058823529411764,1
Ezreal,MIDDLE,7.337209302325581,6.488372093023256,6.465116279069767,1603.6744186046512,0.45348837209302323,1
